close,change,momentum,Prediction
37.4012,-0.2019,-1.0,40.6321
37.3134,-0.0878,-1.0,41.3082
37.2959,-0.0176,-1.0,41.1589
37.2432,-0.0527,-1.0,41.8174
37.41,0.1668,1.0,42.1422
37.1466,-0.2634,-1.0,42.2388
37.4188,0.2722,1.0,42.2564
37.3134,-0.1054,-1.0,42.4495
37.1115,-0.2019,-1.0,43.0026
37.6734,0.5619,1.0,42.59
37.173,-0.5004,-1.0,42.8007
37.0061,-0.1668,-1.0,42.9851
36.1457,-0.8604,-1.0,42.7656
36.2335,0.0878,1.0,43.0992
36.0492,-0.1844,-1.0,43.0553
36.014,-0.0351,-1.0,43.4767
35.7155,-0.2985,-1.0,43.626
35.8121,0.0966,1.0,42.5549
36.0579,0.2458,1.0,42.7217
36.1545,0.0966,1.0,42.0457
35.8209,-0.3336,-1.0,42.0544
35.4522,-0.3687,-1.0,42.9412
35.3644,-0.0878,-1.0,42.9412
35.4697,0.1054,1.0,43.0904
35.7331,0.2634,1.0,43.3187
35.7155,-0.0176,-1.0,43.4504
35.9087,0.1932,1.0,43.4767
35.6365,-0.2722,-1.0,43.1782
36.2599,0.6234,1.0,43.5294
36.4004,0.1405,1.0,43.6611
36.1633,-0.2371,-1.0,43.6874
36.4881,0.3248,1.0,43.5031
36.5233,0.0351,1.0,43.4592
36.1721,-0.3512,-1.0,43.7577
37.0852,0.9131,1.0,43.8455
36.6198,-0.4653,-1.0,43.1168
36.532,-0.0878,-1.0,42.8885
36.8481,0.3161,1.0,43.0114
36.7428,-0.1054,-1.0,43.5558
36.7954,0.0527,1.0,43.8982
36.6198,-0.1756,-1.0,43.3626
37.9104,1.2906,1.0,43.7489
37.8841,-0.0263,-1.0,44.3635
38.3407,0.4565,1.0,44.1879
38.525,0.1844,1.0,43.9596
38.5689,0.0439,1.0,44.6708
38.4636,-0.1054,-1.0,44.6971
38.8411,0.3775,1.0,44.2406
38.8499,0.0088,1.0,44.2581
39.2362,0.3863,1.0,43.986
39.2625,0.0263,1.0,43.3099
39.1572,-0.1054,-1.0,42.4583
39.3591,0.2019,1.0,42.8183
39.4293,0.0702,1.0,43.2924
38.9289,-0.5004,-1.0,43.8104
38.6128,-0.3161,-1.0,43.9508
38.8411,0.2283,1.0,43.986
39.1045,0.2634,1.0,44.2142
39.1484,0.0439,1.0,44.223
39.043,-0.1054,-1.0,44.2054
38.7884,-0.2546,-1.0,44.4601
38.9728,0.1844,1.0,44.9078
38.885,-0.0878,-1.0,45.0483
38.5689,-0.3161,-1.0,45.3731
38.525,-0.0439,-1.0,45.6629
38.8586,0.3336,1.0,45.4697
38.8148,-0.0439,-1.0,46.3301
38.5865,-0.2283,-1.0,46.4706
38.7884,0.2019,1.0,46.0492
39.2274,0.439,1.0,46.0228
38.885,-0.3424,-1.0,45.6892
39.2625,0.3775,1.0,45.7068
39.5347,0.2722,1.0,45.6892
39.561,0.0263,1.0,45.7594
39.5698,0.0088,1.0,45.4083
39.9298,0.36,1.0,45.5399
39.7981,-0.1317,-1.0,46.3213
38.9991,-0.7989,-1.0,46.5321
38.7533,-0.2458,-1.0,46.6813
38.9728,0.2195,1.0,47.252
38.0773,-0.8955,-1.0,47.6558
38.3407,0.2634,1.0,47.5944
37.6295,-0.7111,-1.0,47.7261
37.4539,-0.1756,-1.0,48.0246
36.3565,-1.0975,-1.0,47.77
36.4881,0.1317,1.0,47.6822
37.2959,0.8077,1.0,47.0061
